formula,source,is_train,m,V,Tmax
Mn1O4Ti2,FactSage,1,15.045807383410116,11.581560584671767,1000
Al1Sb1,FactSage/PhononDB,1,22.087119515220607,30.28031211059623,1300
C1Ta1,FactSage,1,11.263094402518925,11.255063175400622,1800
Te1Zn1,FactSage/PhononDB,1,43.24248299302105,29.57280771512277,1800
Ba1Hf1N2,PhononDB,0,29.039931303166853,18.274579622762694,1000
Li1Rb1S1,PhononDB,0,11.814208824098476,24.15663076335369,1000
Br2Zr1,FactSage,1,42.594797438174936,29.786785473981304,1400
Ca1Te1,FactSage/PhononDB,0,30.498650985818056,32.725442463123784,1400
F1La1S1,PhononDB,0,18.23128022432859,19.223441318660253,1000
Cl2Co1,FactSage,1,22.136272813360048,21.8122368526408,900
O6Pb1Sb2,PhononDB,0,24.843009792114586,15.237806449632966,1000
Ni1Sb1,FactSage,1,39.60306862602754,17.49413202862599,1400
Ba1O1,FactSage,1,14.329884506516814,22.127491923018614,1800
Ca1Cs1F3,PhononDB,0,17.96289000645205,19.25802016902183,1000
Br2Fe1,FactSage,1,32.87124678634833,26.31009561811059,600
Cl1Dy1O1,PhononDB,0,18.23102197274465,17.133613247989064,1000
Ba1Mg2Sb2,PhononDB,0,33.66070820304793,33.111349156361925,1000
Mg3P2,FactSage,0,13.618562684345212,21.976504687887,1100
Co1O1,FactSage,1,12.583252456197467,12.113049584760573,1800
Br3Cr1,FactSage,1,31.49881140651144,30.71492965445207,1100
Br3V1,FactSage,1,31.108671035687127,35.9947053401036,900
Fe1P2,FactSage,1,19.923455472562488,12.701762456280205,1800
O3Y2,FactSage,1,13.55928570295576,15.329748773547974,1300
C3Cr7,FactSage,1,9.75692517466894,9.41676903153026,1800
Mn2P1,FactSage,0,19.806799437652266,11.624239661721143,1200
O3Pr2,PhononDB,0,14.367983181189118,16.16308316402128,1000
Mn1O2,FactSage,1,12.390857285217983,12.019755606100167,1800
Cl3Y1,FactSage,1,25.345836665826358,35.25142086314626,900
Mn1S1,FactSage,1,20.24743401710825,21.15465326909996,1800
Ca1P2Zn2,PhononDB,0,21.104689922801324,19.425704057977608,1000
Sr1Te1,PhononDB,0,51.948294768144216,38.00335902766506,1000
O1S1Th1,PhononDB,0,17.93764854430196,17.918802293350783,1000
Te2Zr1,FactSage,0,53.194267539209605,32.05618275406298,1800
Co1Li1S2,PhononDB,0,11.479462743816585,14.397513825957072,1000
Dy2O2S1,PhononDB,0,17.062387640387065,16.62816496308531,1000
Be1Br2,FactSage,1,8.098743944358745,33.90956389582943,1400
Li2O1,FactSage,1,4.840884875590661,8.426556127096351,1800
I5Ta1,FactSage,1,74.59126041761124,46.82429816531242,1800
Ca3Cl3P1,PhononDB,0,17.777257460634907,26.64011480427484,1000
Cu3Nb1Se4,PhononDB,0,38.176793353968456,23.276670557419138,1000
In1P1,FactSage,1,24.39332206792315,26.41999169812097,900
O1V1,FactSage,1,12.175417944784133,10.649889425305787,1800
Fe2Mg1O4,FactSage,1,12.404535637835787,11.204322476491273,1800
Cu2O1,FactSage,1,12.781353445956647,13.138814024647568,1500
K2O1,FactSage,1,11.35345651488175,22.756304314405323,1000
As2Zn3,FactSage,0,34.92144218295938,21.191411865315523,900
Cl1Rb1,PhononDB,0,25.05846730587293,37.573963439724594,1000
Al2Se3,FactSage,1,20.109791834342868,26.08664223064312,1200
Fe2O4Zn1,FactSage,1,16.37629834550363,11.152589309377756,1800
Fe2P1,FactSage,1,19.923455472562488,11.147764190477721,1600
Cu3Nb1S4,PhononDB,0,26.20694967689601,21.08083828674652,1000
O4Sr2Ti1,FactSage,0,16.714146834045682,13.975657463958886,1800
